Title,Price,Location,Bedrooms,Bathrooms,Size
4 Bed House with En Suite at Manyanja Road,9500000,"4, Manyanja Road, Donholm",4,3,225
4 Bed Villa with En Suite in Westlands Area,96000000,"Westlands Area, Westlands",4,0,0
6 Bed House with En Suite at Owashika Road,130000000,"00502, Lavington, owashika road",6,7,0
4 Bed House with En Suite in Shanzu,45000000,Shanzu,4,5,0
4 Bed Villa with En Suite in Spring Valley,85000000,"Spring Valley, Westlands",4,4,0
2 Bed House with En Suite in Kikambala,18000000,Kikambala,2,3,0
4 Bed House with En Suite in Nyali Area,280000000,"Nyali Area, Nyali",4,5,0
3 Bed House with En Suite in Vipingo,20000000,Vipingo,3,4,0
7 Bed House with Staff Quarters in Muthaiga,250000000,Muthaiga,7,0,0
3 Bed House with En Suite at Eden Ville,25000000,"Eden ville, Kiambu Road",3,2,150
5 Bed House with En Suite at Eden Ville Estate,32000000,"Eden Ville Estate, Kiambu Road",5,3,200
5 Bed Townhouse with En Suite in Lavington,135000000,Lavington,5,3,0
4 Bed Townhouse with En Suite at Langata Link Road Nairobi,39900000,"0512J, Langata Link Road Nairobi, Langata",4,5,0
5 Bed Townhouse with En Suite at Lavington Green,75000000,"Maziwa, Lavington green, Lavington",5,5,0
4 Bed House with En Suite at Kamulu Kangundo Nairobi,10500000,"0512J, Kamulu Kangundo Nairobi, Kangundo",4,5,0
4 Bed Townhouse with En Suite in Kiambu Road,30000000,Kiambu Road,4,4,0
4 Bed Townhouse with En Suite in Kiambu Road,37000000,Kiambu Road,4,4,0
5 Bed Villa with En Suite at Kuwinda Rd,140000000,"Kuwinda Rd, Karen",5,7,0
4 Bed House with En Suite at Kiambu Road,35000000,"00502, New runda,kiambu road, Runda, Westlands",4,5,0
5 Bed Townhouse with En Suite in Lavington,81000000,Lavington,5,6,0
5 Bed Townhouse with En Suite in Lavington,81000000,Lavington,5,6,0
5 Bed Townhouse with En Suite in Lavington,55000000,Lavington,5,6,0
4 Bed Townhouse with En Suite in Lavington,71000000,Lavington,4,5,0
4 Bed Townhouse with En Suite in Lavington,30000000,Lavington,4,5,0
5 Bed Villa with Swimming Pool at Kiambu Road,30000000,"Kiambu Road, Kiambu road",5,5,0
5 Bed Townhouse with En Suite in Lavington,130000000,Lavington,5,6,0
5 Bed Villa with En Suite at Lavington,100000000,Lavington,5,7,628
6 Bed House with En Suite at Lamu Town,39000000,"Lamu Town, Lamu, lamu",6,6,0
4 Bed Villa with En Suite in Kitisuru,320000000,"Kitisuru, Westlands",4,0,0
4 Bed Townhouse with En Suite in Karen,65000000,Karen,4,5,400
4 Bed House with En Suite at Lavington Green,100000000,"Maziwa, Lavington green, Lavington",4,4,1
4 Bed Townhouse with En Suite at Kirawa Road,40000000,"Kirawa Road, Kitisuru, Westlands",4,5,0
5 Bed House with En Suite in Runda,95000000,"Runda, Westlands",5,5,0
5 Bed House with En Suite in Kitisuru,80000000,"Kitisuru, Westlands",5,5,0
5 Bed House with En Suite in Runda,140000000,"Runda, Westlands",5,5,0
4 Bed Townhouse with En Suite in Lavington,75000000,Lavington,4,5,0
5 Bed Townhouse with En Suite in Lavington,85000000,Lavington,5,6,0
5 Bed Townhouse with En Suite in Lavington,64000000,Lavington,5,6,0
4 Bed Townhouse with En Suite in Lavington,38000000,Lavington,4,4,0
6 Bed Townhouse with En Suite in Lavington,150000000,Lavington,6,6,0
5 Bed Townhouse with En Suite in Lavington,110000000,Lavington,5,5,0
5 Bed Townhouse with En Suite in Lavington,75000000,Lavington,5,5,0
4 Bed Townhouse with En Suite in Lavington,40000000,Lavington,4,4,0
5 Bed Villa with En Suite in Lavington,75000000,Lavington,5,6,0
4 Bed Townhouse with En Suite in Karen,64000000,Karen,4,4,0
5 Bed Townhouse with En Suite in Karen,115000000,Karen,5,5,0
4 Bed House with En Suite at Karunguro,25000000,"Karunguro, Ruiru",4,4,250
5 Bed Townhouse with En Suite in Lavington,140000000,Lavington,5,6,0
6 Bed Townhouse with En Suite in Lavington,220000000,Lavington,6,7,0
5 Bed Townhouse with En Suite in Lavington,110000000,Lavington,5,6,0
